Pays,Code ISO,Année,Volaille_Import,Volaille_Dispo_int,Volaille_Dispo_kg,Fret_aerien,IED_agriculture,Indice_betail,PIB_par_habitant,Stabilite_politique,Population_totale,Part_terre_bio,globalRank,cluster,Volaille_vs_Median,Nb_dépassement_median,Ratio_Volaille_Import,Distance_France
ALLEMAGNE,DEU,2017,842.0,1739.0,19.0,7902.0,0.09,98.88,54110.0,0.57,82658409.0,6.82,22.0,2,Au-dessus de la médiane,7,0.484186313973548,17815902.98459022
ARGENTINE,ARG,2017,8.0,1962.0,42.0,305.0,1.5,102.98,23385.0,0.16,43937140.0,2.7,126.0,0,Au-dessus de la médiane,7,0.004077471967380225,20905380.016151402
AUSTRALIE,AUS,2017,16.0,1171.0,48.0,1983.0,0.67,90.98,48371.0,0.88,24584620.0,9.59,14.0,2,Au-dessus de la médiane,7,0.013663535439795047,40257889.25855331
AUTRICHE,AUT,2017,110.0,173.0,18.0,391.0,-0.01,101.37,53870.0,1.03,8819901.0,23.38,27.0,2,En-dessous de la médiane,4,0.6358381502890174,56022608.94134203
BULGARIE,BGR,2017,108.0,157.0,22.0,2.0,-0.37,97.29,21458.0,0.32,7102444.0,2.72,61.0,0,En-dessous de la médiane,4,0.6878980891719745,57740069.76107445
CAMBODGE,KHM,2017,10.0,38.0,2.0,1.0,8.39,100.42,5050.0,0.09,16009409.0,0.19,144.0,0,En-dessous de la médiane,2,0.2631578947368421,48833116.122468464
COSTA RICA,CRI,2017,17.0,134.0,27.0,11.0,1.34,102.78,20499.0,0.6,4949954.0,0.49,74.0,0,En-dessous de la médiane,5,0.12686567164179105,59892559.966686115
Corée du sud,KOR,2017,137.0,854.0,17.0,11512.0,0.03,98.91,40957.0,0.38,51096415.0,1.23,5.0,2,Au-dessus de la médiane,7,0.16042154566744732,13746096.38486111
ESPAGNE,ESP,2017,205.0,1497.0,30.0,1079.0,0.13,106.96,39806.0,0.27,46647428.0,7.92,30.0,2,Au-dessus de la médiane,8,0.13694054776219106,18195081.87840186
FRANCE,FRA,2017,506.0,1573.0,23.0,4261.0,0.25,99.19,44469.0,0.27,64842509.0,6.08,32.0,2,Au-dessus de la médiane,8,0.32167832167832167,0.0
GHANA,GHA,2017,151.0,211.0,7.0,0.0,0.21,106.21,5171.0,0.08,29121465.0,0.13,118.0,0,En-dessous de la médiane,5,0.7156398104265402,35721065.89853761
ITALIE,ITA,2017,97.0,1173.0,19.0,1437.0,1.7,100.09,41770.0,0.29,60673701.0,14.88,58.0,2,Au-dessus de la médiane,7,0.08269394714407502,4168809.8695544214
JAPON,JPN,2017,1069.0,2415.0,18.0,10685.0,0.13,100.89,41444.0,1.1,127502725.0,0.21,29.0,2,Au-dessus de la médiane,6,0.4426501035196687,62660216.41050294
KAZAKHSTAN,KAZ,2017,174.0,331.0,18.0,50.0,0.5,107.72,23973.0,0.02,18080019.0,0.13,25.0,0,En-dessous de la médiane,3,0.525679758308157,46762494.698974386
NOUVELLE-ZÉLANDE,NZL,2017,1.0,168.0,35.0,1336.0,-7.87,98.69,42207.0,1.56,4702034.0,0.83,1.0,2,En-dessous de la médiane,4,0.005952380952380952,60140475.132211454
PANAMA,PAN,2017,20.0,192.0,34.0,46.0,-0.42,101.14,33533.0,0.38,4106769.0,0.69,86.0,0,En-dessous de la médiane,3,0.10416666666666667,60735741.14848973
Royaume Uni,GBR,2017,779.0,2234.0,32.0,5916.0,-0.04,102.53,46048.0,0.38,66727461.0,2.88,8.0,2,Au-dessus de la médiane,9,0.3487018800358102,1884953.523750252
SERBIE,SRB,2017,12.0,90.0,10.0,7.0,2.82,101.8,17286.0,0.08,8829628.0,0.39,44.0,0,En-dessous de la médiane,3,0.13333333333333333,56012887.779294595
TCHÉQUIE,CZE,2017,116.0,249.0,22.0,28.0,-0.2,101.11,39346.0,0.99,10641034.0,14.34,41.0,2,En-dessous de la médiane,5,0.46586345381526106,54201475.42497597
Vietnam,VNM,2017,291.0,1206.0,12.0,453.0,1.3,107.45,9170.0,0.21,94600648.0,0.48,70.0,0,Au-dessus de la médiane,7,0.24129353233830847,29758160.182480466
ZAMBIE,ZMB,2017,12.0,60.0,3.0,82.0,-1.21,113.28,3392.0,0.14,16853599.0,0.03,85.0,0,En-dessous de la médiane,2,0.2,47988927.78869644
ÉTATS-UNIS D'AMÉRIQUE,USA,2017,123.0,18266.0,56.0,41592.0,0.1,105.17,60322.0,0.26,325084756.0,0.49,6.0,1,Au-dessus de la médiane,7,0.006733822402277456,260242250.69602928
Médiane,,2017,113.0,592.5,20.5,422.0,0.13,101.255,39576.0,0.305,26853042.5,1.03,36.5,-1,,0,0.19071729957805908,
