Pays,Code ISO,Credit_total,Volaille_Import,Volaille_Dispo_int,Volaille_Dispo_kg,Fret_aerien,IED_agriculture,Indice_betail,PIB_par_habitant,Stabilite_politique,Part_terre_bio,Cluster_CAH,Cluster_KMeans,Ratio_import_volaille,Indice_dépendance_bio,Bio_par_crédit
AUSTRALIE,AUS,728367,16,1171,48,1983,0.67,90.98,48371,0.88,9.59,4,3,0.013663535439795047,0.599375,1.3166439446048488e-05
Afrique du Sud,ZAF,415993,514,2118,36,833,2.0,95.64,13738,-0.28,0.04,2,0,0.24268177525967893,7.782101167315176e-05,9.615546415444491e-08
BELGIQUE,BEL,348217,338,152,13,1574,2.0,102.49,50256,0.42,6.29,2,3,2.223684210526316,0.018609467455621302,1.8063448941321072e-05
CANADA,CAN,221855,182,1433,39,2841,2.0,108.97,48317,1.09,2.06,2,0,0.1270062805303559,0.01131868131868132,9.285344031011246e-06
Colombie,COL,415993,78,1643,32,1274,1.56,104.93,14401,-0.78,0.07,2,0,0.04747413268411443,0.0008974358974358975,1.682720622702786e-07
Corée du sud,KOR,930223,137,854,17,11512,0.03,98.91,40957,0.38,1.23,4,0,0.16042154566744732,0.008978102189781022,1.3222635862583487e-06
Croatie,HRV,415993,24,45,11,1,1.49,104.96,27890,0.68,6.45,2,3,0.5333333333333333,0.26875,1.550506859490424e-05
Danemark,DNK,415993,133,167,29,1566,2.0,99.58,55272,0.85,8.89,2,3,0.7964071856287425,0.0668421052631579,2.137055190832538e-05
ESPAGNE,ESP,668336,205,1497,30,1079,0.13,106.96,39806,0.27,7.92,4,0,0.13694054776219106,0.038634146341463414,1.1850326781738527e-05
FINLANDE,FIN,89625,16,111,19,852,2.0,100.28,47235,1.06,11.4,1,3,0.14414414414414414,0.7125,0.00012719665271966528
FRANCE,FRA,1073559,506,1573,23,4261,0.25,99.19,44469,0.27,6.08,3,0,0.32167832167832167,0.012015810276679842,5.6634055510689216e-06
INDE,IND,1238127,0,3661,2,2407,2.0,111.37,6145,-0.77,0.99,3,0,0.0,inf,7.995948719315546e-07
ITALIE,ITA,918390,97,1173,19,1437,1.7,100.09,41770,0.29,14.88,4,3,0.08269394714407502,0.15340206185567012,1.6202267010747068e-05
Irak,IRQ,415993,470,566,15,16,2.0,91.91,10192,-2.3,0.0,2,0,0.8303886925795053,0.0,0.0
Lettonie,LVA,415993,43,41,21,3,6.79,103.72,27646,0.45,13.91,2,3,1.048780487804878,0.3234883720930233,3.343806265970822e-05
Lituanie,LTU,415993,44,82,28,0,6.08,97.51,33761,0.77,7.98,2,3,0.5365853658536586,0.18136363636363637,1.918301509881176e-05
MALAISIE,MYS,366766,68,1621,39,1455,0.44,102.78,26416,0.11,3.0,2,0,0.041949413942011106,0.04411764705882353,8.179602253207768e-06
Norvège,NOR,415993,2,102,19,1566,2.0,101.97,64590,1.15,4.78,2,3,0.0196078431372549,2.39,1.1490577966456167e-05
Pays Bas,NLD,344661,608,372,20,5855,2.0,100.6,56038,0.91,3.27,2,0,1.6344086021505377,0.00537828947368421,9.487583451565452e-06
Portugal,PRT,415993,82,325,31,422,2.0,102.14,32971,1.11,6.91,2,3,0.2523076923076923,0.08426829268292683,1.6610856432680357e-05
Pérou,PER,415993,60,1523,13,317,2.0,105.63,12592,-0.26,2.23,2,0,0.03939592908732764,0.03716666666666667,5.360667126610304e-06
SLOVAQUIE,SVK,19913,63,74,14,1566,0.36,101.19,30246,0.9,10.07,1,3,0.8513513513513513,0.15984126984126984,0.000505699794104354
SUISSE,CHE,1151365,51,133,16,1581,2.0,98.23,68194,1.24,9.9,3,3,0.38345864661654133,0.19411764705882353,8.59848961884372e-06
Slovénie,SVN,415993,20,52,24,1,0.05,103.94,36180,0.87,7.51,2,3,0.38461538461538464,0.3755,1.805318839499703e-05
TCHÉQUIE,CZE,131992,116,249,22,28,-0.2,101.11,39346,0.99,14.34,1,3,0.46586345381526106,0.12362068965517241,0.00010864294805745803
THAÏLANDE,THA,424287,2,881,13,2512,0.03,99.68,17573,-0.75,0.4,2,0,0.0022701475595913734,0.2,9.427580859182582e-07
Turquie,TUR,473932,3,1674,21,4800,0.39,109.93,28193,-1.79,1.43,2,0,0.0017921146953405018,0.4766666666666666,3.0173105002405407e-06
Vietnam,VNM,291104,291,1206,12,453,1.3,107.45,9170,0.21,0.48,2,0,0.24129353233830847,0.001649484536082474,1.6488952401890733e-06
