Pays,Rank_Volaille_Import,Rank_Volaille_Dispo_int,Rank_Volaille_Dispo_kg,Rank_IED_agriculture,Rank_Indice_betail,Rank_PIB_par_habitant,Rank_Stabilite_politique,Rank_Population_totale,Rank_Part_terre_bio,Total_Score
CANADA,5.0,6.0,9.0,19.0,18.0,11.0,8.0,10.0,41.0,127.0
Pologne,29.0,10.0,17.0,18.0,16.0,29.0,34.0,9.0,27.0,189.0
ESPAGNE,4.0,5.0,17.0,76.0,25.0,18.0,44.0,6.0,15.0,210.0
Portugal,22.0,20.0,16.0,19.0,49.0,27.0,7.0,37.0,17.0,214.0
ITALIE,20.0,8.0,42.0,16.0,66.0,16.0,43.0,3.0,4.0,218.0
IRLANDE,19.0,43.0,26.0,19.0,11.0,2.0,13.0,55.0,43.0,231.0
Danemark,12.0,34.0,20.0,19.0,68.0,6.0,22.0,50.0,12.0,243.0
BELGIQUE,1.0,37.0,63.0,19.0,47.0,9.0,36.0,31.0,20.0,263.0
AUSTRALIE,48.0,9.0,3.0,65.0,89.0,10.0,20.0,18.0,11.0,273.0
MALAISIE,24.0,3.0,9.0,70.0,43.0,35.0,50.0,13.0,28.0,275.0
SUISSE,30.0,41.0,53.0,19.0,76.0,3.0,4.0,45.0,10.0,281.0
TCHÉQUIE,16.0,24.0,31.0,82.0,60.0,19.0,13.0,34.0,5.0,284.0
Chili,7.0,13.0,11.0,15.0,80.0,36.0,37.0,21.0,70.0,290.0
Koweït,10.0,29.0,5.0,19.0,6.0,13.0,60.0,62.0,86.0,290.0
AUTRICHE,17.0,32.0,47.0,80.0,55.0,7.0,11.0,44.0,1.0,294.0
RÉPUBLIQUE DOMINICAINE,35.0,16.0,13.0,19.0,70.0,48.0,48.0,36.0,13.0,298.0
FINLANDE,48.0,45.0,42.0,19.0,65.0,12.0,9.0,51.0,8.0,299.0
Roumanie,9.0,15.0,42.0,13.0,71.0,34.0,55.0,20.0,42.0,301.0
ARGENTINE,63.0,2.0,8.0,57.0,41.0,39.0,47.0,7.0,39.0,303.0
OMAN,14.0,44.0,31.0,19.0,12.0,25.0,26.0,58.0,87.0,316.0
Suède,21.0,30.0,50.0,78.0,72.0,8.0,17.0,38.0,3.0,317.0
Norvège,73.0,47.0,42.0,19.0,51.0,4.0,6.0,53.0,23.0,318.0
Lituanie,33.0,50.0,21.0,8.0,77.0,23.0,25.0,70.0,14.0,321.0
Pérou,27.0,4.0,63.0,19.0,30.0,57.0,70.0,12.0,40.0,322.0
HONGRIE,28.0,23.0,28.0,61.0,64.0,30.0,23.0,40.0,26.0,323.0
ANGOLA,3.0,21.0,67.0,19.0,23.0,73.0,80.0,14.0,28.0,328.0
Corée du sud,10.0,11.0,50.0,78.0,74.0,17.0,38.0,5.0,45.0,328.0
Vietnam,2.0,7.0,65.0,60.0,24.0,67.0,46.0,2.0,56.0,329.0
Lettonie,34.0,66.0,36.0,6.0,38.0,33.0,35.0,76.0,6.0,330.0
Luxembourg,58.0,82.0,47.0,19.0,19.0,1.0,3.0,81.0,25.0,335.0
CHYPRE,53.0,70.0,28.0,19.0,17.0,20.0,33.0,78.0,24.0,342.0
INDONÉSIE,77.0,1.0,73.0,2.0,2.0,62.0,67.0,1.0,59.0,344.0
KAZAKHSTAN,6.0,19.0,47.0,69.0,22.0,37.0,58.0,22.0,74.0,354.0
JORDANIE,25.0,22.0,21.0,19.0,10.0,66.0,81.0,39.0,72.0,355.0
SRI LANKA,81.0,27.0,72.0,19.0,7.0,54.0,64.0,19.0,21.0,364.0
URUGUAY,69.0,72.0,71.0,3.0,39.0,38.0,10.0,64.0,7.0,373.0
BOLIVIE,77.0,14.0,11.0,19.0,15.0,70.0,73.0,32.0,62.0,373.0
JAMAÏQUE,40.0,37.0,2.0,19.0,27.0,64.0,42.0,68.0,76.0,375.0
Fidji,69.0,75.0,21.0,19.0,3.0,55.0,32.0,79.0,22.0,375.0
SLOVAQUIE,26.0,54.0,60.0,71.0,58.0,28.0,19.0,52.0,9.0,377.0
ESTONIE,44.0,73.0,36.0,17.0,81.0,22.0,29.0,77.0,2.0,381.0
Slovénie,45.0,61.0,30.0,77.0,37.0,21.0,21.0,75.0,16.0,383.0
Bahamas,42.0,75.0,7.0,19.0,62.0,24.0,16.0,84.0,59.0,388.0
BÉNIN,15.0,35.0,60.0,19.0,34.0,82.0,56.0,33.0,57.0,391.0
COSTA RICA,47.0,40.0,24.0,59.0,43.0,42.0,31.0,54.0,55.0,395.0
ANTIGUA-ET-BARBUDA,65.0,88.0,1.0,19.0,40.0,41.0,27.0,89.0,28.0,398.0
BARBADE,73.0,79.0,4.0,19.0,45.0,45.0,18.0,87.0,28.0,398.0
GUATEMALA,13.0,17.0,36.0,67.0,29.0,65.0,87.0,24.0,62.0,400.0
Croatie,42.0,65.0,67.0,58.0,33.0,32.0,28.0,59.0,19.0,403.0
PANAMA,45.0,27.0,15.0,84.0,59.0,26.0,38.0,60.0,52.0,406.0
NOUVELLE-ZÉLANDE,77.0,33.0,13.0,88.0,75.0,15.0,1.0,57.0,49.0,408.0
BULGARIE,18.0,36.0,31.0,83.0,78.0,40.0,41.0,46.0,38.0,411.0
GRÈCE,23.0,31.0,58.0,72.0,79.0,31.0,64.0,35.0,18.0,411.0
GRENADE,65.0,86.0,5.0,19.0,54.0,50.0,13.0,88.0,46.0,426.0
GHANA,8.0,25.0,73.0,75.0,28.0,76.0,52.0,15.0,74.0,426.0
Equateur,81.0,18.0,42.0,1.0,87.0,59.0,64.0,26.0,50.0,428.0
Islande,73.0,83.0,17.0,89.0,21.0,5.0,2.0,86.0,54.0,430.0
SERBIE,54.0,49.0,70.0,12.0,52.0,46.0,52.0,43.0,58.0,436.0
NICARAGUA,67.0,39.0,31.0,62.0,4.0,74.0,60.0,49.0,53.0,439.0
MAROC,69.0,12.0,36.0,67.0,13.0,71.0,78.0,11.0,83.0,440.0
Paraguay,77.0,66.0,75.0,5.0,9.0,51.0,59.0,47.0,65.0,454.0
TADJIKISTAN,37.0,69.0,79.0,9.0,1.0,81.0,88.0,42.0,61.0,467.0
OUGANDA,81.0,55.0,85.0,10.0,35.0,84.0,82.0,8.0,28.0,468.0
MALAWI,81.0,48.0,76.0,19.0,35.0,89.0,69.0,23.0,28.0,468.0
MALDIVES,54.0,81.0,60.0,19.0,57.0,43.0,45.0,82.0,28.0,469.0
HONDURAS,54.0,26.0,31.0,87.0,32.0,75.0,82.0,41.0,48.0,476.0
Tanzanie,73.0,46.0,85.0,7.0,46.0,83.0,82.0,4.0,51.0,477.0
SÉNÉGAL,81.0,52.0,76.0,19.0,5.0,80.0,62.0,28.0,78.0,481.0
ARMÉNIE,39.0,63.0,53.0,14.0,26.0,58.0,86.0,67.0,76.0,482.0
Mongolie,59.0,85.0,81.0,73.0,14.0,61.0,24.0,66.0,28.0,491.0
NAMIBIE,41.0,74.0,65.0,19.0,42.0,63.0,30.0,71.0,87.0,492.0
Malte,62.0,80.0,24.0,81.0,82.0,14.0,4.0,83.0,64.0,494.0
LIBÉRIA,32.0,62.0,67.0,19.0,67.0,87.0,76.0,56.0,28.0,494.0
Moldavie,48.0,55.0,53.0,19.0,84.0,60.0,75.0,61.0,44.0,499.0
CAMBODGE,59.0,70.0,85.0,4.0,63.0,77.0,51.0,27.0,69.0,505.0
BOTSWANA,69.0,88.0,81.0,19.0,86.0,49.0,12.0,73.0,28.0,505.0
NÉPAL,81.0,59.0,85.0,19.0,20.0,78.0,85.0,16.0,66.0,509.0
BELIZE,81.0,77.0,26.0,19.0,31.0,68.0,56.0,85.0,67.0,510.0
EL SALVADOR,48.0,42.0,40.0,63.0,68.0,69.0,70.0,48.0,72.0,520.0
ZAMBIE,54.0,58.0,81.0,85.0,8.0,79.0,49.0,25.0,83.0,522.0
ALBANIE,37.0,63.0,53.0,66.0,61.0,56.0,40.0,69.0,82.0,527.0
Monténégro,63.0,83.0,53.0,19.0,83.0,44.0,62.0,80.0,47.0,534.0
Madagascar,81.0,50.0,81.0,19.0,56.0,88.0,74.0,17.0,70.0,536.0
ZIMBABWE,67.0,53.0,76.0,19.0,50.0,72.0,89.0,29.0,85.0,540.0
Macédoine du Nord,36.0,66.0,40.0,86.0,53.0,47.0,70.0,74.0,68.0,540.0
Rwanda,81.0,77.0,89.0,11.0,48.0,86.0,52.0,30.0,79.0,553.0
GÉORGIE,30.0,57.0,58.0,64.0,73.0,52.0,78.0,63.0,79.0,554.0
BOSNIE-HERZÉGOVINE,59.0,60.0,50.0,74.0,85.0,53.0,77.0,65.0,79.0,602.0
GAMBIE,48.0,86.0,79.0,19.0,88.0,85.0,68.0,72.0,87.0,632.0
